file,line at e4e67cb2,Unicode characters (template length),literal (includes technical strings)
ui/config_pane_accounts.go,338,2,› 
ui/config_pane_accounts.go,343,13,+ register a 
ui/config_pane_accounts.go,343,8, account
ui/config_pane_accounts.go,353,2,  
ui/config_pane_accounts.go,356,1,"
"
ui/config_pane_accounts.go,359,3, · 
ui/config_pane_accounts.go,366,13,not logged in
ui/config_pane_accounts.go,368,9,logged in
ui/config_pane_accounts.go,373,2,  
ui/config_pane_accounts.go,374,1,"
"
ui/config_pane_accounts.go,384,0,
ui/config_pane_accounts.go,389,0,
ui/config_pane_accounts.go,391,32,A session cannot be scoped to a 
ui/config_pane_accounts.go,391,46, account yet; registering and logging in work.
ui/config_pane_accounts.go,407,94,"Holds a %s credential · ↵ runs %s's own login again in a tmux session scoped to this account, "
ui/config_pane_accounts.go,408,44,replacing it. af never reads the credential.
ui/config_pane_accounts.go,411,100,No %s credential yet · ↵ runs %s's own login in a tmux session scoped to this account and hands you 
ui/config_pane_accounts.go,412,94,"the terminal. It is a device code — the pane prints a URL, you finish it in your own browser. "
ui/config_pane_accounts.go,413,30,af never reads the credential.
ui/config_pane_accounts.go,418,20,Cannot load accounts
ui/config_pane_accounts.go,418,28,Accounts could not be read: 
ui/config_pane_accounts.go,418,25,Reopen settings to retry.
ui/config_pane_accounts.go,429,1,"
"
ui/config_pane_accounts.go,430,2,  
ui/config_pane_accounts.go,434,1,"
"
ui/config_pane_width.go,4,7,strings
ui/config_pane_width.go,6,33,github.com/charmbracelet/lipgloss
ui/config_pane_width.go,7,31,github.com/charmbracelet/x/ansi
ui/config_pane_width.go,8,29,github.com/mattn/go-runewidth
ui/config_pane_width.go,9,22,github.com/muesli/ansi
ui/config_pane_width.go,11,42,github.com/sachiniyer/agent-factory/config
ui/config_pane_width.go,75,0,
ui/config_pane_width.go,254,10,appearance
ui/config_pane_width.go,257,0,
ui/config_pane_width.go,258,7,(unset)
ui/config_pane_width.go,354,1,…
ui/config_pane_width.go,356,0,
ui/config_pane_width.go,483,3, · 
ui/task_pane_recovery.go,15,0,
ui/schedule_picker.go,4,3,fmt
ui/schedule_picker.go,5,7,strconv
ui/schedule_picker.go,6,7,strings
ui/schedule_picker.go,7,4,time
ui/schedule_picker.go,8,7,unicode
ui/schedule_picker.go,10,42,github.com/charmbracelet/bubbles/textinput
ui/schedule_picker.go,11,34,github.com/charmbracelet/bubbletea
ui/schedule_picker.go,12,33,github.com/charmbracelet/lipgloss
ui/schedule_picker.go,14,44,github.com/sachiniyer/agent-factory/schedule
ui/schedule_picker.go,15,40,github.com/sachiniyer/agent-factory/task
ui/schedule_picker.go,59,15,Every N minutes
ui/schedule_picker.go,60,13,Every N hours
ui/schedule_picker.go,61,6,Hourly
ui/schedule_picker.go,62,5,Daily
ui/schedule_picker.go,63,6,Weekly
ui/schedule_picker.go,64,7,Monthly
ui/schedule_picker.go,65,13,Custom (cron)
ui/schedule_picker.go,72,1,M
ui/schedule_picker.go,72,1,T
ui/schedule_picker.go,72,1,W
ui/schedule_picker.go,72,1,T
ui/schedule_picker.go,72,1,F
ui/schedule_picker.go,72,1,S
ui/schedule_picker.go,72,1,S
ui/schedule_picker.go,92,16,e.g. 0 9 * * 1-5
ui/schedule_picker.go,107,2,15
ui/schedule_picker.go,108,1,9
ui/schedule_picker.go,109,2,00
ui/schedule_picker.go,110,1,1
ui/schedule_picker.go,114,0,
ui/schedule_picker.go,131,4,%02d
ui/schedule_picker.go,153,4,%02d
ui/schedule_picker.go,271,1, 
ui/schedule_picker.go,299,0,
ui/schedule_picker.go,434,0,
ui/schedule_picker.go,435,27,cron expression is required
ui/schedule_picker.go,438,16,invalid cron: %v
ui/schedule_picker.go,442,35,select at least one day of the week
ui/schedule_picker.go,446,16,invalid cron: %v
ui/schedule_picker.go,448,0,
ui/schedule_picker.go,489,9,Schedule:
ui/schedule_picker.go,489,1, 
ui/schedule_picker.go,491,0,
ui/schedule_picker.go,501,1,"
"
ui/schedule_picker.go,504,2,  
ui/schedule_picker.go,525,0,
ui/schedule_picker.go,535,15,No upcoming run
ui/schedule_picker.go,537,9,Next run 
ui/schedule_picker.go,537,12,Jan 02 15:04
ui/schedule_picker.go,539,5,  ·  
ui/schedule_picker.go,545,2,◂ 
ui/schedule_picker.go,545,2, ▸
ui/schedule_picker.go,556,5,Every
ui/schedule_picker.go,556,7,minutes
ui/schedule_picker.go,558,5,Every
ui/schedule_picker.go,558,5,hours
ui/schedule_picker.go,560,9,At minute
ui/schedule_picker.go,566,4,Days
ui/schedule_picker.go,571,3,Day
ui/schedule_picker.go,574,5,Cron 
ui/schedule_picker.go,579,2,AM
ui/schedule_picker.go,581,2,PM
ui/schedule_picker.go,583,2,At
ui/schedule_picker.go,583,1,:
ui/schedule_picker.go,592,1, 
ui/schedule_picker.go,592,1, 
ui/schedule_picker.go,597,1,[
ui/schedule_picker.go,597,1,]
ui/schedule_picker.go,612,0,
ui/schedule_picker.go,613,1, 
ui/schedule_picker.go,619,1, 
ui/schedule_picker.go,619,1, 
ui/schedule_picker.go,627,33,type cron · ↑/↓ fields · tab next
ui/schedule_picker.go,629,35,←/→ day · space toggle · ↑/↓ fields
ui/schedule_picker.go,631,34,←/→ change · ↑/↓ fields · tab next
ui/schedule_picker.go,633,35,type or ←/→ · ↑/↓ fields · tab next
ui/selection_marker.go,3,33,github.com/charmbracelet/lipgloss
ui/quit_key.go,4,36,github.com/charmbracelet/bubbles/key
ui/quit_key.go,5,34,github.com/charmbracelet/bubbletea
ui/quit_key.go,7,40,github.com/sachiniyer/agent-factory/keys
ui/statusbar.go,4,45,github.com/sachiniyer/agent-factory/ui/layout
ui/statusbar.go,6,34,github.com/charmbracelet/bubbletea
ui/statusbar.go,7,33,github.com/charmbracelet/lipgloss
ui/statusbar.go,63,0,
ui/config_input_style.go,4,42,github.com/charmbracelet/bubbles/textinput
ui/config_input_style.go,5,33,github.com/charmbracelet/lipgloss
ui/sidebar_zones.go,4,45,github.com/sachiniyer/agent-factory/ui/layout
ui/sidebar_zones.go,5,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/sidebar_zones.go,6,43,github.com/sachiniyer/agent-factory/ui/tree
ui/rail_header.go,4,7,strings
ui/rail_header.go,6,33,github.com/charmbracelet/lipgloss
ui/rail_header.go,8,40,github.com/sachiniyer/agent-factory/keys
ui/rail_header.go,9,45,github.com/sachiniyer/agent-factory/ui/layout
ui/rail_header.go,20,3, · 
ui/rail_header.go,31,1, 
ui/rail_header.go,50,1, 
ui/rail_header.go,50,1, 
ui/rail_header.go,53,1, 
ui/rail_header.go,58,0,
ui/rail_header.go,59,0,
ui/rail_header.go,61,1, 
ui/rail_header.go,71,0,
ui/rail_header.go,73,1, 
ui/rail_header.go,73,1, 
ui/rail_header.go,119,0,
ui/rail_header.go,123,0,
ui/rail_header.go,127,0,
ui/rail_header.go,134,0,
ui/projects.go,4,3,fmt
ui/projects.go,5,7,reflect
ui/projects.go,6,7,strings
ui/projects.go,8,40,github.com/sachiniyer/agent-factory/keys
ui/projects.go,9,45,github.com/sachiniyer/agent-factory/ui/layout
ui/projects.go,10,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/projects.go,12,34,github.com/charmbracelet/bubbletea
ui/projects.go,13,33,github.com/charmbracelet/lipgloss
ui/projects.go,129,0,
ui/projects.go,192,2,up
ui/projects.go,192,1,k
ui/projects.go,195,4,down
ui/projects.go,195,1,j
ui/projects.go,253,6,switch
ui/projects.go,276,2,  
ui/projects.go,278,1,▹
ui/projects.go,278,1, 
ui/projects.go,281,0,
ui/projects.go,282,9,(unnamed)
ui/projects.go,284,7,%s (%d)
ui/projects.go,288,2,▸ 
ui/projects.go,290,2,▹ 
ui/projects.go,305,0,
ui/projects.go,328,2,%d
ui/projects.go,330,1,?
ui/projects.go,333,9,Projects:
ui/projects.go,341,8,Projects
ui/projects.go,342,4,(%d)
ui/projects.go,351,46,  registry unreadable · list may be incomplete
ui/projects.go,353,23,  No other projects yet
ui/projects.go,400,1,"
"
ui/recovery.go,4,7,strings
ui/recovery.go,6,33,github.com/charmbracelet/lipgloss
ui/recovery.go,7,45,github.com/sachiniyer/agent-factory/ui/layout
ui/recovery.go,8,44,github.com/sachiniyer/agent-factory/ui/theme
ui/recovery.go,19,0,
ui/recovery.go,26,0,
ui/recovery.go,29,0,
ui/recovery.go,30,0,
ui/recovery.go,32,1,"
"
ui/recovery.go,42,0,
ui/recovery.go,45,0,
ui/recovery.go,48,0,
ui/recovery.go,48,0,
ui/recovery.go,52,0,
ui/recovery.go,57,1,"
"
ui/recovery.go,61,1,"
"
ui/recovery.go,63,0,
ui/recovery.go,64,0,
ui/recovery.go,66,1,"
"
ui/sidebar_nav.go,4,43,github.com/sachiniyer/agent-factory/session
ui/sidebar_nav.go,5,43,github.com/sachiniyer/agent-factory/ui/tree
ui/sidebar_nav.go,89,0,
ui/sidebar_nav.go,98,0,
ui/sidebar_nav.go,169,0,
ui/sidebar_nav.go,173,0,
ui/sidebar_nav.go,174,0,
ui/sidebar_nav.go,178,0,
ui/sidebar_nav.go,179,0,
ui/sidebar_nav.go,183,0,
ui/sidebar_nav.go,424,0,
ui/sidebar_nav.go,616,0,
ui/sidebar_nav.go,617,0,
ui/sidebar_nav.go,909,0,
ui/task_pane_state.go,3,40,github.com/sachiniyer/agent-factory/task
ui/task_pane_state.go,172,0,
ui/menu.go,4,4,math
ui/menu.go,5,6,slices
ui/menu.go,6,7,strings
ui/menu.go,8,40,github.com/sachiniyer/agent-factory/keys
ui/menu.go,9,43,github.com/sachiniyer/agent-factory/session
ui/menu.go,10,45,github.com/sachiniyer/agent-factory/ui/layout
ui/menu.go,11,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/menu.go,13,36,github.com/charmbracelet/bubbles/key
ui/menu.go,14,33,github.com/charmbracelet/lipgloss
ui/menu.go,27,3, · 
ui/menu.go,673,0,
ui/menu.go,675,0,
ui/menu.go,809,1,/
ui/menu.go,813,1, 
ui/menu.go,820,1, 
ui/caret.go,4,33,github.com/charmbracelet/lipgloss
ui/caret.go,5,25,github.com/muesli/termenv
ui/caret.go,14,1,▌
ui/caret.go,31,1, 
ui/dialog_recovery.go,4,45,github.com/sachiniyer/agent-factory/ui/layout
ui/dialog_recovery.go,5,44,github.com/sachiniyer/agent-factory/ui/theme
ui/automations.go,4,3,fmt
ui/automations.go,5,7,strings
ui/automations.go,6,4,time
ui/automations.go,8,40,github.com/sachiniyer/agent-factory/keys
ui/automations.go,9,40,github.com/sachiniyer/agent-factory/task
ui/automations.go,10,45,github.com/sachiniyer/agent-factory/ui/layout
ui/automations.go,11,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/automations.go,12,44,github.com/sachiniyer/agent-factory/ui/store
ui/automations.go,13,43,github.com/sachiniyer/agent-factory/ui/tree
ui/automations.go,15,34,github.com/charmbracelet/bubbletea
ui/automations.go,16,33,github.com/charmbracelet/lipgloss
ui/automations.go,166,2,up
ui/automations.go,166,1,k
ui/automations.go,169,4,down
ui/automations.go,169,1,j
ui/automations.go,238,8,watching
ui/automations.go,242,0,
ui/automations.go,253,0,
ui/automations.go,256,0,
ui/automations.go,275,5,next 
ui/automations.go,275,12,Jan 02 15:04
ui/automations.go,287,5,armed
ui/automations.go,307,15,No upcoming run
ui/automations.go,315,16,from cron: next 
ui/automations.go,315,12,Jan 02 15:04
ui/automations.go,321,5,last 
ui/automations.go,321,12,Jan 02 15:04
ui/automations.go,331,8,errored:
ui/automations.go,332,7,errored
ui/automations.go,334,3, · 
ui/automations.go,347,3,[✓]
ui/automations.go,349,3,[✗]
ui/automations.go,361,3,[?]
ui/automations.go,364,3,[!]
ui/automations.go,366,1, 
ui/automations.go,369,1,▾
ui/automations.go,377,0,
ui/automations.go,378,9,(unnamed)
ui/automations.go,380,2,  
ui/automations.go,396,0,
ui/automations.go,401,7,watch: 
ui/automations.go,403,0,
ui/automations.go,406,0,
ui/automations.go,409,3, · 
ui/automations.go,468,10,No trigger
ui/automations.go,470,23,Invalid cron expression
ui/automations.go,472,15,No upcoming run
ui/automations.go,477,7,overdue
ui/automations.go,480,20,overdue · missed %d+
ui/automations.go,482,19,overdue · missed %d
ui/automations.go,487,9,not armed
ui/automations.go,492,14,Health unknown
ui/automations.go,494,0,
ui/automations.go,501,0,
ui/automations.go,502,0,
ui/automations.go,504,1, 
ui/automations.go,507,0,
ui/automations.go,514,0,
ui/automations.go,515,5,last 
ui/automations.go,518,5,last 
ui/automations.go,524,7,watch: 
ui/automations.go,526,0,
ui/automations.go,529,3, · 
ui/automations.go,567,6,manage
ui/automations.go,568,5,hooks
ui/automations.go,577,0,
ui/automations.go,596,12,Automations:
ui/automations.go,597,10,%d (%d on)
ui/automations.go,598,2,%d
ui/automations.go,626,19,%d (%d on · [!] %d)
ui/automations.go,627,6,[!] %d
ui/automations.go,641,11,Automations
ui/automations.go,642,4,(%d)
ui/automations.go,695,0,
ui/automations.go,705,1,"
"
ui/task_list_window.go,3,7,strings
ui/task_list_window.go,8,1,"
"
ui/task_list_window.go,8,1,"
"
ui/task_list_window.go,20,1,"
"
ui/alarm.go,4,3,fmt
ui/alarm.go,5,7,strings
ui/alarm.go,6,4,time
ui/alarm.go,8,33,github.com/charmbracelet/lipgloss
ui/alarm.go,9,29,github.com/mattn/go-runewidth
ui/alarm.go,11,45,github.com/sachiniyer/agent-factory/ui/layout
ui/alarm.go,65,0,
ui/alarm.go,69,0,
ui/alarm.go,72,23,a new session per event
ui/alarm.go,74,10,%d pending
ui/alarm.go,79,40,pending count unknown (queue unreadable)
ui/alarm.go,81,54,⚠ events not delivering to %q — %s since %s (task: %s)
ui/alarm.go,82,5,15:04
ui/alarm.go,84,12,  (+%d more)
ui/alarm.go,87,1,…
ui/alarm.go,90,1,"
"
ui/sidebar_render.go,4,3,fmt
ui/sidebar_render.go,5,7,strings
ui/sidebar_render.go,7,45,github.com/sachiniyer/agent-factory/ui/layout
ui/sidebar_render.go,8,43,github.com/sachiniyer/agent-factory/ui/tree
ui/sidebar_render.go,10,33,github.com/charmbracelet/lipgloss
ui/sidebar_render.go,11,29,github.com/mattn/go-runewidth
ui/sidebar_render.go,90,1,"
"
ui/sidebar_render.go,112,1,"
"
ui/sidebar_render.go,113,1,▲
ui/sidebar_render.go,116,1,"
"
ui/sidebar_render.go,120,1,"
"
ui/sidebar_render.go,121,1,▼
ui/sidebar_render.go,141,1,"
"
ui/sidebar_render.go,142,1,"
"
ui/sidebar_render.go,248,10,%s %d more
ui/sidebar_render.go,253,1,…
ui/sidebar_render.go,255,0,
ui/sidebar_render.go,280,0,
ui/sidebar_render.go,281,1, 
ui/sidebar_render.go,281,1, 
ui/sidebar_render.go,283,15, Agent Factory 
ui/sidebar_render.go,291,0,
ui/sidebar_render.go,305,2,▶ 
ui/sidebar_render.go,307,2,▼ 
ui/sidebar_render.go,317,13,Sessions (%d)
ui/sidebar_render.go,319,13,Archived (%d)
ui/sidebar_render.go,333,1,…
ui/sidebar_render.go,335,0,
ui/sidebar_render.go,351,0,
ui/sidebar_render.go,353,1,─
ui/sidebar_render.go,359,0,
ui/sidebar_render.go,371,0,
ui/sidebar_render.go,376,0,
ui/hooks_pane.go,4,7,strings
ui/hooks_pane.go,6,34,github.com/charmbracelet/bubbletea
ui/hooks_pane.go,7,33,github.com/charmbracelet/lipgloss
ui/hooks_pane.go,68,0,
ui/hooks_pane.go,84,6,ctrl+c
ui/hooks_pane.go,88,3,esc
ui/hooks_pane.go,91,2,up
ui/hooks_pane.go,91,1,k
ui/hooks_pane.go,96,4,down
ui/hooks_pane.go,96,1,j
ui/hooks_pane.go,101,1,n
ui/hooks_pane.go,103,0,
ui/hooks_pane.go,105,5,enter
ui/hooks_pane.go,111,1,D
ui/hooks_pane.go,130,0,
ui/hooks_pane.go,141,0,
ui/hooks_pane.go,145,0,
ui/hooks_pane.go,152,1, 
ui/hooks_pane.go,169,19,Post-worktree hooks
ui/hooks_pane.go,170,1,"
"
ui/hooks_pane.go,171,35,Commands run async in new worktrees
ui/hooks_pane.go,172,2,"

"
ui/hooks_pane.go,175,59,"  No hooks configured. Press Enter to focus, then n to add."
ui/hooks_pane.go,177,38,  No hooks configured. Press n to add.
ui/hooks_pane.go,180,1,"
"
ui/hooks_pane.go,186,2,▸ 
ui/hooks_pane.go,188,2,▸ 
ui/hooks_pane.go,190,2,  
ui/hooks_pane.go,192,1,"
"
ui/hooks_pane.go,196,2,▸ 
ui/hooks_pane.go,197,1,"
"
ui/hooks_pane.go,200,1,"
"
ui/hooks_pane.go,203,23,enter save · esc cancel
ui/hooks_pane.go,205,40,n add · enter edit · D delete · esc back
ui/hooks_pane.go,207,24,n add · enter · esc back
ui/hooks_pane.go,212,29,enter to focus and edit hooks
ui/fallback.go,4,3,fmt
ui/fallback.go,5,7,strings
ui/fallback.go,7,45,github.com/sachiniyer/agent-factory/ui/layout
ui/fallback.go,9,33,github.com/charmbracelet/lipgloss
ui/fallback.go,16,18,Terminal too small
ui/fallback.go,16,0,
ui/fallback.go,17,25,Resize to at least %d×%d.
ui/fallback.go,37,0,
ui/fallback.go,41,1,"
"
ui/fallback.go,43,1,"
"
ui/fallback.go,51,1,"
"
ui/fallback.go,63,0,
ui/task_pane_edit.go,4,3,fmt
ui/task_pane_edit.go,5,7,strings
ui/task_pane_edit.go,7,34,github.com/charmbracelet/bubbletea
ui/task_pane_edit.go,8,33,github.com/charmbracelet/lipgloss
ui/task_pane_edit.go,9,31,github.com/charmbracelet/x/ansi
ui/task_pane_edit.go,11,42,github.com/sachiniyer/agent-factory/config
ui/task_pane_edit.go,12,47,github.com/sachiniyer/agent-factory/session/git
ui/task_pane_edit.go,13,40,github.com/sachiniyer/agent-factory/task
ui/task_pane_edit.go,26,0,
ui/task_pane_edit.go,27,16,name is required
ui/task_pane_edit.go,30,0,
ui/task_pane_edit.go,31,25,watch command is required
ui/task_pane_edit.go,37,0,
ui/task_pane_edit.go,40,0,
ui/task_pane_edit.go,41,24,prompt must be non-empty
ui/task_pane_edit.go,50,0,
ui/task_pane_edit.go,51,24,project path is required
ui/task_pane_edit.go,55,16,invalid path: %v
ui/task_pane_edit.go,62,47,could not check — git did not answer; try again
ui/task_pane_edit.go,64,26,%s is not a git repository
ui/task_pane_edit.go,67,0,
ui/task_pane_edit.go,73,1,r
ui/task_pane_edit.go,76,1,x
ui/task_pane_edit.go,79,1,D
ui/task_pane_edit.go,82,0,
ui/task_pane_edit.go,97,0,
ui/task_pane_edit.go,107,0,
ui/task_pane_edit.go,118,0,
ui/task_pane_edit.go,132,16,invalid path: %v
ui/task_pane_edit.go,180,4,left
ui/task_pane_edit.go,180,1,h
ui/task_pane_edit.go,180,2,up
ui/task_pane_edit.go,180,1,k
ui/task_pane_edit.go,182,5,right
ui/task_pane_edit.go,182,1,l
ui/task_pane_edit.go,182,4,down
ui/task_pane_edit.go,182,1,j
ui/task_pane_edit.go,195,2,up
ui/task_pane_edit.go,195,1,k
ui/task_pane_edit.go,195,4,left
ui/task_pane_edit.go,195,1,h
ui/task_pane_edit.go,199,4,down
ui/task_pane_edit.go,199,1,j
ui/task_pane_edit.go,199,5,right
ui/task_pane_edit.go,199,1,l
ui/task_pane_edit.go,222,2,up
ui/task_pane_edit.go,222,1,k
ui/task_pane_edit.go,222,4,left
ui/task_pane_edit.go,222,1,h
ui/task_pane_edit.go,226,4,down
ui/task_pane_edit.go,226,1,j
ui/task_pane_edit.go,226,5,right
ui/task_pane_edit.go,226,1,l
ui/task_pane_edit.go,295,45,(optional) {{line}} expands to the event line
ui/task_pane_edit.go,297,18,Enter task prompt…
ui/task_pane_edit.go,301,4,%-9s
ui/task_pane_edit.go,308,0,
ui/task_pane_edit.go,309,4,  ! 
ui/task_pane_edit.go,309,1,"
"
ui/task_pane_edit.go,311,0,
ui/task_pane_edit.go,324,1,"
"
ui/task_pane_edit.go,329,1,"
"
ui/task_pane_edit.go,334,8,New task
ui/task_pane_edit.go,337,12,Edit task %s
ui/task_pane_edit.go,339,1,"
"
ui/task_pane_edit.go,341,10,Essentials
ui/task_pane_edit.go,342,1,"
"
ui/task_pane_edit.go,344,5,Name:
ui/task_pane_edit.go,346,1,"
"
ui/task_pane_edit.go,350,8,Trigger:
ui/task_pane_edit.go,352,1,"
"
ui/task_pane_edit.go,359,6,Watch:
ui/task_pane_edit.go,366,1,"
"
ui/task_pane_edit.go,370,7,Prompt:
ui/task_pane_edit.go,372,11, (optional)
ui/task_pane_edit.go,374,1,"
"
ui/task_pane_edit.go,376,1,"
"
ui/task_pane_edit.go,379,1,"
"
ui/task_pane_edit.go,381,8,Delivery
ui/task_pane_edit.go,382,1,"
"
ui/task_pane_edit.go,384,7,Target:
ui/task_pane_edit.go,386,1,"
"
ui/task_pane_edit.go,389,8,On done:
ui/task_pane_edit.go,391,1,"
"
ui/task_pane_edit.go,394,5,Path:
ui/task_pane_edit.go,396,1,"
"
ui/task_pane_edit.go,400,8,Program:
ui/task_pane_edit.go,402,1,"
"
ui/task_pane_edit.go,404,1,"
"
ui/task_pane_edit.go,406,6, Save 
ui/task_pane_edit.go,408,8, Create 
ui/task_pane_edit.go,416,1,"
"
ui/task_pane_edit.go,418,1,"
"
ui/task_pane_edit.go,419,5, quit
ui/task_pane_edit.go,421,51,tab/shift+tab fields · enter create · esc cancel · 
ui/task_pane_edit.go,423,34,tab fields · enter · esc cancel · 
ui/task_pane_edit.go,427,33,tab/shift+tab fields · enter save
ui/task_pane_edit.go,429,23,tab fields · enter save
ui/task_pane_edit.go,432,1,"
"
ui/task_pane_edit.go,442,45,r run now · x toggle · D delete · esc list · 
ui/task_pane_edit.go,443,38,r run · x toggle · D del · esc list · 
ui/task_pane_edit.go,444,33,r run · x toggle · D del · esc · 
ui/task_pane_edit.go,450,33,x toggle · D delete · esc list · 
ui/task_pane_edit.go,451,30,x toggle · D del · esc list · 
ui/task_pane_edit.go,452,25,x toggle · D del · esc · 
ui/task_pane_edit.go,476,1,"
"
ui/task_pane_edit.go,517,8,  ↑ more
ui/task_pane_edit.go,520,8,  ↓ more
ui/task_pane_edit.go,522,1,"
"
ui/task_pane_edit.go,539,2,▸ 
ui/task_pane_edit.go,541,2,▸ 
ui/task_pane_edit.go,543,2,  
ui/task_pane_edit.go,546,4,cron
ui/task_pane_edit.go,546,2,  
ui/task_pane_edit.go,546,5,watch
ui/task_pane_edit.go,548,13,   ←/→ switch
ui/task_pane_edit.go,565,49,n/a — a target session is not this task's to reap
ui/task_pane_edit.go,577,2,◂ 
ui/task_pane_edit.go,577,2, ▸
ui/task_pane_edit.go,578,4,←/→ 
ui/task_pane_edit.go,580,10,"
         "
ui/task_pane_edit.go,582,3,   
ui/task_pane_edit.go,596,0,
ui/task_pane_edit.go,596,1,"
"
ui/task_pane_edit.go,596,10,"
         "
ui/task_pane_edit.go,623,2,◂ 
ui/task_pane_edit.go,623,2, ▸
ui/task_pane_edit.go,623,19,   ←/→ change agent
ui/tabbed_window.go,4,3,fmt
ui/tabbed_window.go,5,7,strings
ui/tabbed_window.go,6,11,sync/atomic
ui/tabbed_window.go,8,39,github.com/sachiniyer/agent-factory/log
ui/tabbed_window.go,9,43,github.com/sachiniyer/agent-factory/session
ui/tabbed_window.go,10,45,github.com/sachiniyer/agent-factory/ui/layout
ui/tabbed_window.go,11,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/tabbed_window.go,12,44,github.com/sachiniyer/agent-factory/ui/store
ui/tabbed_window.go,13,43,github.com/sachiniyer/agent-factory/ui/tree
ui/tabbed_window.go,15,34,github.com/charmbracelet/bubbletea
ui/tabbed_window.go,16,33,github.com/charmbracelet/lipgloss
ui/tabbed_window.go,263,0,
ui/tabbed_window.go,325,0,
ui/tabbed_window.go,447,0,
ui/tabbed_window.go,515,37,tabbed window failed to scroll up: %v
ui/tabbed_window.go,521,39,tabbed window failed to scroll down: %v
ui/tabbed_window.go,598,19, %s · %s · Preview 
ui/tabbed_window.go,601,9, %s · %s 
ui/tabbed_window.go,602,0,
ui/tabbed_window.go,603,24, %s · %s — selected: %s 
ui/tabbed_window.go,606,21, No session selected 
ui/tabbed_window.go,609,1, 
ui/tabbed_window.go,609,12, · Keyboard 
ui/tabbed_window.go,615,1, 
ui/tabbed_window.go,615,22, — Scroll · Esc exits 
ui/tabbed_window.go,653,0,
ui/tabbed_window.go,662,0,
ui/sidebar_model.go,4,3,fmt
ui/sidebar_model.go,5,4,sort
ui/sidebar_model.go,6,4,time
ui/sidebar_model.go,8,43,github.com/sachiniyer/agent-factory/session
ui/sidebar_model.go,9,45,github.com/sachiniyer/agent-factory/ui/layout
ui/sidebar_model.go,10,51,github.com/sachiniyer/agent-factory/ui/layout/zones
ui/sidebar_model.go,11,44,github.com/sachiniyer/agent-factory/ui/store
ui/sidebar_model.go,12,43,github.com/sachiniyer/agent-factory/ui/tree
ui/sidebar_model.go,14,34,github.com/charmbracelet/bubbletea
ui/sidebar_model.go,15,33,github.com/charmbracelet/lipgloss
ui/sidebar_model.go,202,8,Sessions
ui/sidebar_model.go,206,8,Archived
ui/sidebar_model.go,286,0,
ui/sidebar_model.go,302,17,%d|%s|%d|%t|%s|%v
ui/dialog.go,4,7,strings
ui/dialog.go,6,33,github.com/charmbracelet/lipgloss
ui/dialog.go,7,25,github.com/muesli/termenv
ui/dialog.go,8,44,github.com/sachiniyer/agent-factory/ui/theme
ui/dialog.go,33,0,
ui/dialog.go,34,1,m
ui/dialog.go,35,1,m
ui/scroll_controller.go,3,41,github.com/charmbracelet/bubbles/viewport
ui/scroll_controller.go,116,0,
